Playing History Audit 'gaiggibeliin' from 2019/01/01 12:00 AM to 2019/01/30 11:59 PM,,,,,,,,,,,,
Transaction Details,Individual Transaction Amounts,Running Balance,,,,,,,,,,
Date/Time,Action,Table Name / Player / Tournament #,Game,Account Currency,Amount,Accrued StarsCoin,T Money,W Money,Balance,Total Accrued StarsCoin After this Transaction,T Money2,W Money3
4.1.2019 22:18,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-3.93,0,0,0,"11,558.89","3,032.97",0,0
4.1.2019 22:21,Leave Table (Zoom),Diotima,1.00/2.00 PL Omaha,USD,214.62,0,0,0,"11,773.51","3,032.97",0,0
4.1.2019 22:21,Leave Table (Zoom),Diotima,1.00/2.00 PL Omaha,USD,479.85,0,0,0,"12,253.36","3,032.97",0,0
4.1.2019 22:22,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-4,0,0,0,"12,249.36","3,032.97",0,0
4.1.2019 22:23,Leave Table (Zoom),Diotima,1.00/2.00 PL Omaha,USD,200,0,0,0,"12,449.36","3,032.97",0,0
5.1.2019 16:53,Table Buy In (Zoom),Diotima,1.00/2.00 PL Omaha,USD,-200,0,0,0,"12,249.36","3,032.97",0,0
5.1.2019 17:20,Inter Account Transfer,2000685778,,USD,"-2,849.24",0,0,0,"9,400.12","3,032.97",0,0
5.1.2019 17:20,Inter Account Transfer,2000685779,,EUR,"2,500.00",0,0,0,"2,500.00","3,032.97",0,0
5.1.2019 17:21,Withdrawal,2000685971,,EUR,"-2,500.00",0,0,0,0,"3,032.97",0,0
5.1.2019 19:53,Leave Table (Zoom),Diotima,1.00/2.00 PL Omaha,USD,308.04,0,0,0,"9,708.16","3,032.97",0,0
5.1.2019 20:31,SB: Currency Conversion (Auto),2522117628,,USD,-113.96,0,0,0,"9,594.20","3,032.97",0,0
5.1.2019 20:31,SB: Currency Conversion (Auto),2522117628,,EUR,100,0,0,0,100,"3,032.97",0,0
5.1.2019 20:31,SB: Bet Placed,2522117628,,EUR,-100,0,0,0,0,"3,032.97",0,0
5.1.2019 22:30,SB: Bet Settled,2522206764,,EUR,315,0,0,0,315,"3,032.97",0,0
5.1.2019 22:39,Table Buy In (Zoom),Diotima,1.00/2.00 PL Omaha,USD,-200,0,0,0,"9,394.20","3,032.97",0,0
5.1.2019 22:39,Table Buy In (Zoom),Diotima,1.00/2.00 PL Omaha,USD,-200,0,0,0,"9,194.20","3,032.97",0,0
5.1.2019 22:40,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-7,0,0,0,"9,187.20","3,032.97",0,0
5.1.2019 22:40,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-1,0,0,0,"9,186.20","3,032.97",0,0
5.1.2019 22:41,Table Buy In (Zoom),Diotima,1.00/2.00 PL Omaha,USD,-200,0,0,0,"8,986.20","3,032.97",0,0
5.1.2019 22:41,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-6,0,0,0,"8,980.20","3,032.97",0,0
5.1.2019 22:41,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-7.99,0,0,0,"8,972.21","3,032.97",0,0
5.1.2019 22:42,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-5.5,0,0,0,"8,966.71","3,032.97",0,0
5.1.2019 22:43,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-22.2,0,0,0,"8,944.51","3,032.97",0,0
5.1.2019 22:43,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-7,0,0,0,"8,937.51","3,032.97",0,0
5.1.2019 22:44,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-7,0,0,0,"8,930.51","3,032.97",0,0
5.1.2019 22:44,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-2,0,0,0,"8,928.51","3,032.97",0,0
5.1.2019 22:45,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-1,0,0,0,"8,927.51","3,032.97",0,0
5.1.2019 22:47,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-0.75,0,0,0,"8,926.76","3,032.97",0,0
5.1.2019 22:48,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-7,0,0,0,"8,919.76","3,032.97",0,0
5.1.2019 22:49,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-1,0,0,0,"8,918.76","3,032.97",0,0
5.1.2019 22:59,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-200,0,0,0,"8,718.76","3,032.97",0,0
5.1.2019 23:00,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-7,0,0,0,"8,711.76","3,032.97",0,0
5.1.2019 23:00,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-1,0,0,0,"8,710.76","3,032.97",0,0
5.1.2019 23:01,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-2,0,0,0,"8,708.76","3,032.97",0,0
5.1.2019 23:04,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-5,0,0,0,"8,703.76","3,032.97",0,0
5.1.2019 23:09,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-24,0,0,0,"8,679.76","3,032.97",0,0
5.1.2019 23:10,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-2,0,0,0,"8,677.76","3,032.97",0,0
5.1.2019 23:10,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-1,0,0,0,"8,676.76","3,032.97",0,0
5.1.2019 23:16,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-186.25,0,0,0,"8,490.51","3,032.97",0,0
5.1.2019 23:27,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-3.13,0,0,0,"8,487.38","3,032.97",0,0
5.1.2019 23:28,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-6,0,0,0,"8,481.38","3,032.97",0,0
5.1.2019 23:29,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-6,0,0,0,"8,475.38","3,032.97",0,0
5.1.2019 23:31,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-28.25,0,0,0,"8,447.13","3,032.97",0,0
5.1.2019 23:31,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-4,0,0,0,"8,443.13","3,032.97",0,0
5.1.2019 23:32,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-1,0,0,0,"8,442.13","3,032.97",0,0
5.1.2019 23:35,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-29.48,0,0,0,"8,412.65","3,032.97",0,0
5.1.2019 23:39,Table Rebuy (Automatic Zoom),Diotima,1.00/2.00 PL Omaha,USD,-2.6,0,0,0,"8,410.05","3,032.97",0,0
5.1.2019 23:40,Leave Table (Zoom),Diotima,1.00/2.00 PL Omaha,USD,219.36,0,0,0,"8,629.41","3,032.97",0,0
5.1.2019 23:40,Leave Table (Zoom),Diotima,1.00/2.00 PL Omaha,USD,200,0,0,0,"8,829.41","3,032.97",0,0
5.1.2019 23:40,Leave Table (Zoom),Diotima,1.00/2.00 PL Omaha,USD,586.58,0,0,0,"9,415.99","3,032.97",0,0
6.1.2019 13:56,Tournament Registration,2479738163<b><font color=-x-tourn-championship>Winter Series 56 - Medium: $215 NLHE [8-Max  Main Event] </font> <font color=-x-tourn-guarantee>$1.5M Gtd</font></b>, NL Hold'em Buy-In: 200.00/15.00,USD,-215,0,0,0,"9,200.99","3,032.97",0,0
6.1.2019 13:56,Tournament Registration,2479738162<b><font color=-x-tourn-championship>Winter Series 56 - Low: $22 NLHE [8-Max  Main Event] </font> <font color=-x-tourn-guarantee>$750K Gtd</font></b>, NL Hold'em Buy-In: 20.00/2.00,USD,-22,0,0,0,"9,178.99","3,032.97",0,0
6.1.2019 13:56,Tournament Registration,2493723795<font color=-x-tourn-special><b>Bigger $22 </font> <font color=-x-tourn-guarantee>$75K Gtd</font></b>, NL Hold'em Buy-In: 20.00/2.00,USD,-22,0,0,0,"9,156.99","3,032.97",0,0
